Variable,Restrictions,content map,category tab,section,role(s),id,name,label,dbo,control,type,options / datalist,placeholder / caption,value / default,size,maxlength,min,max,spellcheck,required,reqmsg,helpmsg,validation,pattern (regexp),title / invalid msg,transforms,triggers,assumptions,autofocus,autocomplete,bookpage(s),FrontCover,BackCover,Spine,Congradulations,TOC,fieldofplay,School,Athletic_Director,coaches photo,team photo,CoachQuote,Head_Coach,Coaches_Corner,People_Made_Difference,Player_Facts,Player_Stories,Letter_Player-to-Parent,Letter_Parent-to-Player,Memory_Notes,Favorite_Photos,Teammates_Remember,TeamMatesProfile,PlayerQuote
{{FrontCoverPageValid}},true or false,cover.page.valid,,,,,,,,,,,,,,,,,,,,,testBookPageFrontCover,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
{{PersonUID}},autogenerated,cover.person.uid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonFirtLastName}},required,cover.person.firstlastname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,BackCover,Spine,,,,,,,,,,,,,,,,,,,,
{{SchoolFullName}},required,cover.organization.name,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
{{GroupUID}},autogenerated,cover.group.uid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{GroupBookDateYear}},required,cover.group.bookdateyear,Team Profile,TeamInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
{{TeamType}},required,cover.group.type,Team Profile,TeamInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
{{CelebrationImage1}},required,cover.group.typeimage1,Team Profile,TeamInformationSection,Leader,,,,,input,file,,,,,,,,,,,,,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
{{PrimarySchoolColor}},required,cover.organization.primarycolor,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
{{FrontBackSpineLayout}},right,cover.page.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CongradulationsSectionTitle}},,congrats.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CongradulationsSectionLayout}},center,quote.section.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checksum,quote.section.etag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,true or false,quote.section.valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CongradulationsPageTitle}},,congrats.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memory_Notes,,,,
{{CelebrationImage2}},required,congrats.group.typeimage2,Team Profile,TeamInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congradulations,,,,,,,,,,,,,,,Memory_Notes,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,congrats.organization.primarycolor,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congradulations,,,,,,,,,,,,,,,,,,,
{{PlayerInformalName}},required; min 1; max 13,congrats.player.person.informalname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congradulations,,,,,,,,,,,,,,,,,,,
{{CongradulationsSectionLayout}},left,congrats.section.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteQuoteSectionTitle}},,quote.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteQuoteSectionHeadline}},,quote.section.headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteQuoteSectionSubhead}},,quote.section.subhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteQuoteSectionLayout}},center,quote.section.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checksum,quote.section.etag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,true or false,quote.section.valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteQuotePageTitle}},,quote.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerQuoteText}},max 272; default if null,quote.text,BuildMemoryBook,QuoteSection,Player,txtFavoriteQuote,FavoriteQuoteText,Favorite Quote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlayerQuote
{{PlayerQuoteDefault}},,quote.defaulttext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerQuoteCredit}},max 57,quote.credit,BuildMemoryBook,QuoteSection,Player,txtFavoriteQuoteCredit,FavoriteQuoteAuthor,Favorite Quote Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlayerQuote
{{PlayerQuoteCreditDefault}},,quote.defaultcreadit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CelebrationImage2}},required,quote.group.typeimage2,Team Profile,TeamInformationSection,Leader,,,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlayerQuote
{{PrimarySchoolColor}},required; 1 of 32 options,quote.organization.primarycolor,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlayerQuote
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TOCSectionTitle}},required; min 1; max 50,toc.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checksum,quote.section.etag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,true or false,quote.section.valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TOCPageTitle}},required; min 1; max 50,toc.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolSectionTitle}},required,toc.organization.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOC,,,,,,,,,,,,,,,,,,
{{AthleticDirectorSectionTitle}},,toc.athleticdirector.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CoachingStaffSectionTitle}},,toc.staffphoto.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamSectionTitle}},,toc.team.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{HeadCoachSectionTitle}},,toc.headcoach.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{DifferenceSectionTitle}},,toc.difference.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CheerleadersSectionTitle}},,toc.cheerleaders.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TheBandSectionTitle}},,toc.theband.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesSectionTitle}},,toc.seasonmemories.section.title,Team Profile,SeasonMemoriesSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorMemoriesSectionTitle}},,toc.seniormemories.section.title,Team Profile,SeniorMemoriesSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{NoteToSeniorsFromUnderclassmenTitle}},,toc.notestoseniorsfromunderclassmen.section.title,Team Profile,NoteToSeniorsFromUnderclassmenSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{NoteToSeniorsFromCoachTitle}},,toc.notetoseniorsfromcoach.section.title,Team Profile,NoteToSeniorsFromCoachSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CoachesCornerSectionTitle}},,toc.coachescorner.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerProfileSectionTitle}},required,toc.player.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{MemoryLettersSectionTitle}},,toc.player.letters.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{MemoryNotesSectionTitle}},,toc.player.note.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{MomentsToRememberSectionTitle}},,toc.player.moments.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{TeammatesToRememberSectionTitle}},,toc.player.teammatess.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,toc.organization.primarycolor,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TOCSectionLayout}},center,toc.section.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteTeammateSectionTitle}},required; min 1; max 50,teammates.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteTeammateSectionHeadline}},,teammates.section.headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteTeammateSectionSubhead}},,teammates.section.subhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
{{FavoriteTeammatePageTitle}},required; min 1; max 50,teammates.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    favorite teammate page(s),min 1; max ???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoriteTeammate1,required,teammates[0],BuildMemoryBook,FavoriteTeammatesSection,"Player, Staff",101_idFavoriteMember,FavoriteTeammate1,Favorite Teammate Profile 1,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
FavoriteTeammate2,,teammates[1],BuildMemoryBook,FavoriteTeammatesSection,"Player, Staff",102_idFavoriteMember,FavoriteTeammate2,Favorite Teammate Profile 2,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
FavoriteTeammate3,,teammates[2],BuildMemoryBook,FavoriteTeammatesSection,"Player, Staff",103_idFavoriteMember,FavoriteTeammate3,Favorite Teammate Profile 3,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
FavoriteTeammate4,,teammates[3],BuildMemoryBook,FavoriteTeammatesSection,"Player, Staff",104_idFavoriteMember,FavoriteTeammate4,Favorite Teammate Profile 4,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
FavoriteTeammate5,,teammates[4],BuildMemoryBook,FavoriteTeammatesSection,"Player, Staff",105_idFavoriteMember,FavoriteTeammate5,Favorite Teammate Profile 5,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
FavoriteTeammate6,,teammates[5],BuildMemoryBook,FavoriteTeammatesSection,"Player, Staff",106_idFavoriteMember,FavoriteTeammate6,Favorite Teammate Profile 6,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
FavoriteTeammate7,,teammates[6],BuildMemoryBook,FavoriteTeammatesSection,"Player, Staff",107_idFavoriteMember,FavoriteTeammate7,Favorite Teammate Profile 7,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
FavoriteTeammate8,,teammates[7],BuildMemoryBook,FavoriteTeammatesSection,"Player, Staff",108_idFavoriteMember,FavoriteTeammate8,Favorite Teammate Profile 8,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
FavoriteTeammate9,,teammates[8],BuildMemoryBook,FavoriteTeammatesSection,"Player, Staff",109_idFavoriteMember,FavoriteTeammate9,Favorite Teammate Profile 9,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teammates_Remember,,
{{FavoriteStaffSectionTitle}},required; min 1; max 50,difference.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteStaffSectionHeadline}},,difference.section.headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteStaffSectionSubhead}},,difference.section.subhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoriteStaffPageTitle}},required; min 1; max 50,difference.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    favorite teammate page(s),max ???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoriteStaff1,,difference[0],BuildMemoryBook,FavoriteStaffSection,"Player, Staff",101_idFavoriteStaff,FavoriteStaff1,Favorite Staff Profile 1,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
FavoriteStaff2,,difference[1],BuildMemoryBook,FavoriteStaffSection,"Player, Staff",102_idFavoriteStaff,FavoriteStaff2,Favorite Staff Profile 2,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
FavoriteStaff3,,difference[2],BuildMemoryBook,FavoriteStaffSection,"Player, Staff",103_idFavoriteStaff,FavoriteStaff3,Favorite Staff Profile 3,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
FavoriteStaff4,,difference[3],BuildMemoryBook,FavoriteStaffSection,"Player, Staff",104_idFavoriteStaff,FavoriteStaff4,Favorite Staff Profile 4,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
FavoriteStaff5,,difference[4],BuildMemoryBook,FavoriteStaffSection,"Player, Staff",105_idFavoriteStaff,FavoriteStaff5,Favorite Staff Profile 5,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
FavoriteStaff6,,difference[5],BuildMemoryBook,FavoriteStaffSection,"Player, Staff",106_idFavoriteStaff,FavoriteStaff6,Favorite Staff Profile 6,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
{{FavoritePhotoSectionTitle}},required; min 1; max 50,moments.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoritePhotoSectionHeadline}},,moments.section.headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoritePhotoSectionSubhead}},,moments.section.subhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoritePhotoPageTitle}},required; min 1; max 50,moments.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    favorite photospage(s),max 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FavoritePhotoImage1}},,moments.photo_101.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",101_imgFavoritePhoto,FavoritePhotoImage1,Favorite Photo Image 1,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
{{FavoritePhotoCaption1}},max 85,moments.photo_101.caption,BuildMemoryBook,FavoritePhotoSection,Player,101_txtFavoritePhotoCaption,FavoritePhotoCaption1,Favorite Photo Caption 1,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
{{FavoritePhotoImage2}},,moments.photo_102.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",102_imgFavoritePhoto,FavoritePhotoImage2,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
{{FavoritePhotoCaption2}},max 85,moments.photo_102.caption,BuildMemoryBook,FavoritePhotoSection,Player,102_txtFavoritePhotoCaption,FavoritePhotoCaption2,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
{{FavoritePhotoImage3}},,moments.photo_103.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",103_imgFavoritePhoto,FavoritePhotoImage3,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
{{FavoritePhotoCaption3}},max 85,moments.photo_103.caption,BuildMemoryBook,FavoritePhotoSection,Player,103_txtFavoritePhotoCaption,FavoritePhotoCaption3,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
{{FavoritePhotoImage4}},,moments.photo_104.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",104_imgFavoritePhoto,FavoritePhotoImage4,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
{{FavoritePhotoCaption4}},max 85,moments.photo_104.caption,BuildMemoryBook,FavoritePhotoSection,Player,104_txtFavoritePhotoCaption,FavoritePhotoCaption4,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
FavoritePhotoImage5,,moments.photo_105.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",105_imgFavoritePhoto,FavoritePhotoImage5,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
FavoritePhotoCaption5,max 85,moments.photo_105.caption,BuildMemoryBook,FavoritePhotoSection,Player,105_txtFavoritePhotoCaption,FavoritePhotoCaption,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
FavoritePhotoImage6,,moments.photo_106.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",106_imgFavoritePhoto,FavoritePhotoImage6,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
FavoritePhotoCaption6,max 85,moments.photo_106.caption,BuildMemoryBook,FavoritePhotoSection,Player,106_txtFavoritePhotoCaption,FavoritePhotoCaption6,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
FavoritePhotoImage7,,moments.photo_107.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",107_imgFavoritePhoto,FavoritePhotoImage7,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
FavoritePhotoCaption7,max 85,moments.photo_107.caption,BuildMemoryBook,FavoritePhotoSection,Player,107_txtFavoritePhotoCaption,FavoritePhotoCaption7,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
FavoritePhotoImage8,,moments.photo_108.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",108_imgFavoritePhoto,FavoritePhotoImage8,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
FavoritePhotoCaption8,max 85,moments.photo_108.caption,BuildMemoryBook,FavoritePhotoSection,Player,108_txtFavoritePhotoCaption,FavoritePhotoCaption8,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorite_Photos,,,
FavoritePhotoImage9,,moments.photo_109.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",109_imgFavoritePhoto,FavoritePhotoImage9,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoCaption9,max 85,moments.photo_109.caption,BuildMemoryBook,FavoritePhotoSection,Player,109_txtFavoritePhotoCaption,FavoritePhotoCaption9,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoImage10,,moments.photo_110.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",110_imgFavoritePhoto,FavoritePhotoImage10,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoCaption10,max 85,moments.photo_11.caption,BuildMemoryBook,FavoritePhotoSection,Player,110_txtFavoritePhotoCaption,FavoritePhotoCaption10,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoImage11,,moments.photo_111.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",111_imgFavoritePhoto,FavoritePhotoImage11,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoCaption11,max 85,moments.photo_111.caption,BuildMemoryBook,FavoritePhotoSection,Player,111_txtFavoritePhotoCaption,FavoritePhotoCaption11,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoImage12,,moments.photo_112.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",112_imgFavoritePhoto,FavoritePhotoImage12,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoCaption12,max 85,moments.photo_112.caption,BuildMemoryBook,FavoritePhotoSection,Player,112_txtFavoritePhotoCaption,FavoritePhotoCaption12,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoImage13,,moments.photo_113.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",113_imgFavoritePhoto,FavoritePhotoImage13,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoCaption13,max 85,moments.photo_113.caption,BuildMemoryBook,FavoritePhotoSection,Player,113_txtFavoritePhotoCaption,FavoritePhotoCaption13,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoImage14,,moments.photo_114.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",114_imgFavoritePhoto,FavoritePhotoImage14,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoCaption14,max 85,moments.photo_114.caption,BuildMemoryBook,FavoritePhotoSection,Player,114_txtFavoritePhotoCaption,FavoritePhotoCaption14,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoImage15,,moments.photo_115.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",115_imgFavoritePhoto,FavoritePhotoImage15,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoCaption15,max 85,moments.photo_115.caption,BuildMemoryBook,FavoritePhotoSection,Player,115_txtFavoritePhotoCaption,FavoritePhotoCaption15,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoImage16,,moments.photo_116.image,BuildMemoryBook,FavoritePhotoSection,"Player, Staff",116_imgFavoritePhoto,FavoritePhotoImage16,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FavoritePhotoCaption16,max 85,moments.photo_116.caption,BuildMemoryBook,FavoritePhotoSection,Player,116_txtFavoritePhotoCaption,FavoritePhotoCaption16,,,input,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToParentSectionTitle}},required; min 1; max 50,letters.playertoparent.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToParentSectionHeadline}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToParentrSectionSubhead}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToParentPageTitle}},,letters.playertoparent.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToParentGreeting}},required; min 1; max 27,letters.playertoparent.greeting,,,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{LetterToParentParentsName}},required; min 1; max 13,letters.playertoparent.parentsname,BuildMemoryBook,LetterPlayerToParentSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Player-to-Parent,,,,,,
{{LetterToParentPhoto1}},portrit or landscape,letters.playertoparent.photo_101.image,BuildMemoryBook,LetterPlayerToParentSection,Player,,,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Player-to-Parent,,,,,,
{{LetterToParentPhoto2}},portrit or landscape,letters.playertoparent.photo_102.image,BuildMemoryBook,LetterPlayerToParentSection,Player,,,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter_Player-to-Parent,,,,,,
